"LEAGUE","NAME","PLAYER ID","POS","SEASON","DY+/-","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","SH%","SHOTS/GP","TG","TP","TP/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"QMJHL","Vitali Abramov","39602/vitali-abramov","F","2018","DY+2","56","1.1607","0.4464","1.6071","32","33","6","65","12","13","6","25","165","19.39","40","30.00","215","20.93","3.84","45","104","1.8571","72.22","48.89","","","","","","","1998-05-08","20.35","20.65","GAT/VIC","5'09","L","2016","CBJ (2016) - #65","CBJ","OTT","pick224.com/images/39602_vitali-abramov2018.png"
"OHL","Jordan Kyrou","39580/jordan-kyrou","F","2018","DY+2","56","0.9286","0.4821","1.4107","25","27","13","52","14","13","15","27","119","21.01","46","30.43","166","23.49","2.96","39","109","1.9464","65.82","49.37","","","","","","","1998-05-05","20.36","20.66","SAR","6'00","R","2016","STL (2016) - #35","STL","STL","pick224.com/images/39580_jordan-kyrou2018.png"
"WHL","Jayden Halbgewachs","37212/jayden-halbgewachs","F","2018","DY+3","72","0.9722","0.4306","1.4028","39","31","13","70","25","6","5","31","","","","","","","0.00","","","","69.31","63.37","","","","","","","1997-03-22","21.48","21.78","MJ","5'08","L","2015","","","SJS",""
"OHL","Gabriel Vilardi","42109/gabriel-vilardi","F","2018","DY+1","32","0.9375","0.4375","1.3750","14","16","8","30","7","7","4","14","85","16.47","25","28.00","113","19.47","3.53","22","58","1.8125","68.18","47.73","","","","","","","1999-08-16","19.08","19.38","KGN","6'02","R","2017","LAK (2017) - #11","LAK","LAK","pick224.com/images/42109_gabriel-vilardi2018.png"
"OHL","Andrei Svechnikov","43137/andrei-svechnikov","F","2018","DY","44","0.9773","0.3864","1.3637","29","14","4","43","9","8","4","17","119","24.37","45","20.00","174","22.99","3.95","40","72","1.6364","71.67","63.33","","","","","","","2000-03-26","18.47","18.76","BAR","6'03","L","2018","CAR (2018) - #2","CAR","CAR","pick224.com/images/43137_andrei-svechnikov2018.png"
"WHL","Kole Lind","40419/kole-lind","F","2018","DY+1","58","0.8966","0.4483","1.3448","22","30","5","52","13","13","6","26","","","","","","","0.00","","","","66.67","44.87","","","","","","","1998-10-16","19.91","20.21","KEL","6'01","R","2017","VAN (2017) - #33","VAN","VAN",""
"QMJHL","Alex Barre-Boulet","37639/alex-barre-boulet","F","2018","DY+3","65","0.7846","0.5385","1.3231","32","19","12","51","19","16","14","35","219","14.61","59","32.20","295","17.97","4.54","53","116","1.7846","59.30","59.30","","","","","","","1997-05-21","21.32","21.61","BLB","5'10","L","2015","","","TBL","pick224.com/images/37639_alex-barre-boulet2018.png"
"WHL","Aleksi Heponiemi","40712/aleksi-heponiemi","F","2018","DY+1","57","0.8596","0.4386","1.2982","13","36","17","49","14","11","17","25","","","","","","","0.00","","","","66.22","36.49","","","","","","","1999-01-09","19.68","19.98","SC","5'10","L","2017","FLA (2017) - #40","FLA","FLA",""
"OHL","Logan Brown","39108/logan-brown","F","2018","DY+2","32","0.9375","0.2813","1.2188","18","12","5","30","4","5","4","9","96","18.75","19","21.05","116","18.97","3.63","22","48","1.5000","76.92","56.41","","","","","","","1998-03-05","20.53","20.82","WSR/KIT","6'06","L","2016","OTT (2016) - #11","OTT","OTT","pick224.com/images/39108_logan-brown2018.png"
"WHL","Glenn Gawdin","37234/glenn-gawdin","F","2018","DY+3","67","0.7910","0.4030","1.1940","33","20","18","53","16","11","13","27","","","","","","","0.00","","","","66.25","61.25","","","","","","","1997-03-25","21.47","21.77","SC","6'01","R","2015","STL (2015) - #116","STL","CGY",""
"OHL","Morgan Frost","41599/morgan-frost","F","2018","DY+1","67","0.9701","0.2239","1.1940","29","36","17","65","9","6","7","15","145","20.00","41","21.95","200","21.00","2.99","42","112","1.6716","81.25","47.50","","","","","","","1999-05-14","19.34","19.63","SSM","5'11","L","2017","PHI (2017) - #27","PHI","PHI","pick224.com/images/41599_morgan-frost2018.png"
"OHL","Aaron Luchuk","37311/aaron-luchuk","F","2018","DY+3","68","0.8235","0.3676","1.1911","32","24","18","56","15","10","11","25","205","15.61","60","25.00","281","17.79","4.13","50","115","1.6912","69.14","58.02","","","","","","","1997-04-05","21.44","21.74","WSR/BAR","5'10","L","2015","","","MTL","pick224.com/images/37311_aaron-luchuk2018.png"
"OHL","Dmitri Sokolov","39425/dmitri-sokolov","F","2018","DY+2","64","0.8438","0.3281","1.1719","32","22","12","54","18","3","9","21","186","17.20","82","21.95","268","18.66","4.19","50","96","1.5000","72.00","66.67","","","","","","","1998-04-14","20.42","20.71","BAR/SBY","5'11","L","2016","MIN (2016) - #196","MIN","MIN","pick224.com/images/39425_dmitri-sokolov2018.png"
"WHL","Brayden Burke","36581/brayden-burke","F","2018","DY+3","61","0.8033","0.3607","1.1639","21","28","14","49","5","17","18","22","","","","","","","0.00","","","","69.01","36.62","","","","","","","1997-01-01","21.71","22.00","MJ","5'10","L","2015","","","ARI",""
"WHL","Tyler Steenbergen","38674/tyler-steenbergen","F","2018","DY+2","56","0.8393","0.3214","1.1607","33","14","21","47","9","9","9","18","","","","","","","0.00","","","","72.31","64.62","","","","","","","1998-01-07","20.69","20.98","SC","5'10","L","2016","ARI (2017) - #128","ARI","ARI",""
"OHL","Owen Tippett","40984/owen-tippett","F","2018","DY+1","51","0.7255","0.4118","1.1373","25","12","9","37","11","10","4","21","209","11.96","59","18.64","275","13.09","5.39","36","75","1.4706","63.79","62.07","","","","","","","1999-02-16","19.58","19.88","MISS","6'02","R","2017","FLA (2017) - #10","FLA","FLA","pick224.com/images/40984_owen-tippett2018.png"
"WHL","Dillon Dube","40038/dillon-dube","F","2018","DY+2","53","0.8491","0.2642","1.1132","25","20","8","45","9","5","10","14","","","","","","","0.00","","","","76.27","57.63","","","","","","","1998-07-20","20.15","20.45","KEL","5'11","L","2016","CGY (2016) - #56","CGY","CGY",""
"OHL","Adam Mascherin","39781/adam-mascherin","F","2018","DY+2","67","0.7463","0.3582","1.1045","28","22","6","50","12","12","6","24","183","15.30","69","17.39","254","15.75","3.79","40","86","1.2836","67.57","54.05","","","","","","","1998-06-06","20.28","20.57","KIT","5'09","L","2016","FLA (2016) - #38","FLA","DAL","pick224.com/images/39781_adam-mascherin2018.png"
"OHL","Boris Katchouk","39865/boris-katchouk","F","2018","DY+2","58","0.8621","0.2414","1.1035","29","21","6","50","8","6","8","14","135","21.48","40","20.00","195","21.54","3.36","42","85","1.4655","78.13","57.81","","","","","","","1998-06-18","20.24","20.54","SSM","6'01","L","2016","TBL (2016) - #44","TBL","TBL","pick224.com/images/39865_boris-katchouk2018.png"
"QMJHL","Drake Batherson","39520/drake-batherson","F","2018","DY+2","51","0.7059","0.3922","1.0981","15","21","8","36","12","8","10","20","128","11.72","29","41.38","166","17.47","3.25","29","77","1.5098","64.29","48.21","","","","","","","1998-04-27","20.38","20.68","CAP/BLB","6'02","R","2016","OTT (2017) - #121","OTT","OTT","pick224.com/images/39520_drake-batherson2018.png"
"QMJHL","Maxime Comtois","40703/max-comtois","F","2018","DY+1","54","0.7963","0.2963","1.0926","31","12","14","43","8","8","5","16","127","24.41","41","19.51","185","23.78","3.43","44","85","1.5741","72.88","66.10","","","","","","","1999-01-08","19.69","19.98","VIC","6'02","L","2017","ANA (2017) - #50","ANA","ANA","pick224.com/images/40703_max-comtois2018.png"
"OHL","Taylor Raddysh","38994/taylor-raddysh","F","2018","DY+2","58","0.7586","0.3276","1.0862","24","20","7","44","8","11","10","19","145","16.55","59","13.56","212","15.57","3.66","33","83","1.4310","69.84","50.79","","","","","","","1998-02-18","20.58","20.87","SSM/ER","6'02","R","2016","TBL (2016) - #58","TBL","TBL","pick224.com/images/38994_taylor-raddysh2018.png"
"QMJHL","Alexis Lafreniere","45219/alexis-lafreniere","F","2018","DY-2","60","0.8833","0.2000","1.0833","35","18","3","53","7","5","12","12","151","23.18","44","15.91","205","20.49","3.42","42","80","1.3333","81.54","64.62","","","","","","","2001-10-11","16.93","17.22","RIM","6'00","L","2020","","","","pick224.com/images/45219_alexis-lafreniere2018.png"
"OHL","Nick Suzuki","42090/nick-suzuki","F","2018","DY+1","64","0.7969","0.2813","1.0782","30","21","14","51","7","11","10","18","199","15.08","57","12.28","281","14.95","4.39","42","100","1.5625","73.91","53.62","","","","","","","1999-08-10","19.10","19.39","OS","5'11","R","2017","VGK (2017) - #13","VGK","MTL","pick224.com/images/42090_nick-suzuki2018.png"
"WHL","Cody Glass","41297/cody-glass","F","2018","DY+1","64","0.6719","0.4063","1.0781","20","23","17","43","14","12","6","26","","","","","","","0.00","","","","62.32","49.28","","","","","","","1999-04-01","19.46","19.75","POR","6'02","R","2017","VGK (2017) - #6","VGK","VGK",""
"WHL","Kieffer Bellows","39813/kieffer-bellows","F","2018","DY+2","56","0.8393","0.2321","1.0714","32","15","7","47","7","6","4","13","","","","","","","0.00","","","","78.33","65.00","","","","","","","1998-06-10","20.26","20.56","POR","6'00","L","2016","NYI (2016) - #19","NYI","NYI",""
"OHL","Robert Thomas","41886/robert-thomas","F","2018","DY+1","49","0.6735","0.3878","1.0613","14","19","11","33","9","10","10","19","76","18.42","36","25.00","117","20.51","2.39","24","75","1.5306","63.46","44.23","","","","","","","1999-07-02","19.20","19.50","HAM/LDN","6'00","R","2017","STL (2017) - #20","STL","STL","pick224.com/images/41886_robert-thomas2018.png"
"QMJHL","Filip Zadina","42496/filip-zadina","F","2018","DY","57","0.8421","0.2105","1.0526","33","15","10","48","8","4","8","12","188","17.55","37","21.62","234","18.80","4.11","44","82","1.4386","80.00","68.33","","","","","","","1999-11-27","18.80","19.09","HAL","6'01","L","2018","DET (2018) - #6","DET","DET","pick224.com/images/42496_filip-zadina2018.png"
"OHL","Sam Miletic","37532/sam-miletic","F","2018","DY+3","63","0.7143","0.3333","1.0476","26","19","16","45","8","13","8","21","177","14.69","55","14.55","245","14.69","3.89","36","92","1.4603","68.18","51.52","","","","","","","1997-05-04","21.36","21.66","NIAG/LDN","6'00","L","2015","","","PIT","pick224.com/images/37532_sam-miletic2018.png"
"OHL","Kevin Hancock","39083/kevin-hancock","F","2018","DY+2","53","0.7547","0.2642","1.0189","16","24","9","40","6","8","2","14","181","8.84","50","12.00","245","9.80","4.62","24","69","1.3019","74.07","40.74","","","","","","","1998-03-02","20.54","20.83","OS","5'11","L","2016","","","","pick224.com/images/39083_kevin-hancock2018.png"
"QMJHL","Alexandre Alain","37059/alexandre-alain","F","2018","DY+3","65","0.6154","0.4000","1.0154","22","18","11","40","21","5","9","26","193","11.40","53","39.62","251","17.53","3.86","44","87","1.3385","60.61","65.15","","","","","","","1997-03-03","21.53","21.83","BLB","6'02","R","2015","","","MTL","pick224.com/images/37059_alexandre-alain2018.png"
"WHL","Ty Ronning","38373/ty-ronning","F","2018","DY+2","70","0.7429","0.2714","1.0143","40","12","6","52","16","3","1","19","","","","","","","0.00","","","","73.24","78.87","","","","","","","1997-10-20","20.90","21.20","VAN","5'09","R","2016","NYR (2016) - #201","NYR","NYR",""
"WHL","Braylon Shmyr","37604/braylon-shmyr","F","2018","DY+3","72","0.7083","0.2917","1.0000","27","24","7","51","7","14","3","21","","","","","","","0.00","","","","70.83","47.22","","","","","","","1997-05-16","21.33","21.63","SAS","5'10","L","2015","","","",""
"WHL","Sam Steel","38874/sam-steel","F","2018","DY+2","54","0.5370","0.4630","1.0000","16","13","9","29","10","15","4","25","","","","","","","0.00","","","","53.70","48.15","","","","","","","1998-02-03","20.62","20.91","REG","5'11","L","2016","ANA (2016) - #30","ANA","ANA",""
"WHL","Matthew Phillips","39365/matthew-phillips","F","2018","DY+2","71","0.5915","0.4085","1.0000","23","19","14","42","16","13","9","29","","","","","","","0.00","","","","59.15","54.93","","","","","","","1998-04-06","20.44","20.74","VIC","5'07","R","2016","CGY (2016) - #166","CGY","CGY",""
