,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Alex DeBrincat (RW/LW),Erie Otters,63,65,62,127,2.02,49,60
2,Taylor Raddysh (RW),Erie Otters,58,42,67,109,1.88,37,67
3,Adam Mascherin (LW),Kitchener Rangers,65,35,65,100,1.54,20,-2
4,Petrus Palmu (RW/LW),Owen Sound Attack,62,40,58,98,1.58,34,31
5,Nick Suzuki (C),Owen Sound Attack,65,45,51,96,1.48,10,51
6,Jordan Kyrou (C/RW),Sarnia Sting,66,30,64,94,1.42,36,5
7,Ryan Moore (C/RW),Flint Firebirds,68,39,51,90,1.32,57,11
8,Cliff Pu (RW),London Knights,63,35,51,86,1.37,36,25
9,Kole Sherwood (RW),Flint Firebirds,60,33,52,85,1.42,60,13
10,Kevin Hancock (LW),Owen Sound Attack,68,30,55,85,1.25,14,30
,,,,,,,,,
11,Artur Tyanulin (RW),Ottawa 67's,67,24,61,85,1.27,67,-7
12,Jeremy Bracco (RW),totals,57,25,58,83,1.46,6,13
,,Kitchener Rangers,27,17,34,51,1.89,4,15
,,Windsor Spitfires,30,8,24,32,1.07,2,-2
13,Jason Robertson (LW),Kingston Frontenacs,68,42,39,81,1.19,29,3
14,Darren Raddysh (D),Erie Otters,62,16,65,81,1.31,63,62
15,Bobby MacIntyre (LW),Soo Greyhounds,63,28,52,80,1.27,56,30
16,Owen Tippett (RW/LW),Mississauga Steelheads,60,44,31,75,1.25,36,24
17,Dylan Strome (C),Erie Otters,35,22,53,75,2.14,18,36
18,Jonah Gadjovich (LW),Owen Sound Attack,60,46,28,74,1.23,32,35
19,Michael McLeod (C),Mississauga Steelheads,57,27,46,73,1.28,49,28
20,Santino Centorame (D),Owen Sound Attack,68,7,66,73,1.07,57,37
,,,,,,,,,
21,Dmitri Sokolov (RW/LW),Sudbury Wolves,64,48,24,72,1.13,8,-32
22,J.J. Piccinich (RW),London Knights,66,26,46,72,1.09,24,18
23,Brett McKenzie (C/LW),North Bay Battalion,67,29,38,67,1,60,-16
24,Hayden Hodgson (RW),Saginaw Spirit,67,38,28,66,0.99,71,-1
25,Robert Thomas (C/RW),London Knights,66,16,50,66,1,26,41
26,Zach Senyshyn (RW),Soo Greyhounds,59,42,23,65,1.1,31,16
27,Steven Harland (RW),North Bay Battalion,68,27,38,65,0.96,10,-29
28,Boris Katchouk (LW),Soo Greyhounds,66,35,29,64,0.97,46,18
