,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Vitali Abramov (RW/LW),Gatineau Olympiques,66,46,58,104,1.58,76,13
2,Tyler Boland (C),Rimouski Océanic,68,48,55,103,1.51,24,5
3,François Beauchemin (C/RW),totals,69,45,52,97,1.41,76,45
,,Val-d'Or Foreurs,39,27,28,55,1.41,44,12
,,Charlottetown Islanders,30,18,24,42,1.4,32,33
4,Filip Chlapík (C),Charlottetown Islanders,57,34,57,91,1.6,98,24
5,Giovanni Fiore (LW/RW),Cape Breton Screaming Eagles,61,52,38,90,1.48,42,36
6,Christophe Boivin (LW),Acadie-Bathurst Titan,68,43,47,90,1.32,44,35
7,Alexandre Goulet (C/LW),Victoriaville Tigres,68,39,50,89,1.31,58,17
8,Matthew Highmore (C/W),Saint John Sea Dogs,64,34,55,89,1.39,46,34
9,Maxime Fortier (RW),Halifax Mooseheads,68,32,55,87,1.28,20,-1
10,Nico Hischier (C),Halifax Mooseheads,57,38,48,86,1.51,24,20
,,,,,,,,,
11,Alex Barré-Boulet (C),totals,65,29,52,81,1.25,42,10
,,Drummondville Voltigeurs,37,17,31,48,1.3,26,4
,,Blainville-Boisbriand Armada,28,12,21,33,1.18,16,6
12,Antoine Waked (RW),Rouyn-Noranda Huskies,67,39,41,80,1.19,67,41
13,Nicolas Roy (C/RW),Chicoutimi Saguenéens,53,36,44,80,1.51,46,30
14,Mathieu Joseph (RW/LW),Saint John Sea Dogs,54,36,44,80,1.48,57,37
15,Jean-Christophe Beaudin (C/RW),Rouyn-Noranda Huskies,65,30,50,80,1.23,33,32
16,Spencer Smallman (RW),Saint John Sea Dogs,60,30,49,79,1.32,35,27
17,Joey Ratelle (LW),totals,62,41,36,77,1.24,113,11
,,Drummondville Voltigeurs,30,24,14,38,1.27,73,0
,,Chicoutimi Saguenéens,32,17,22,39,1.22,40,11
18,Dylan Montcalm (LW),Rimouski Océanic,62,16,60,76,1.23,58,4
19,Dennis Yan (LW),Shawinigan Cataractes,64,46,29,75,1.17,52,23
20,Samuel Girard (D),Shawinigan Cataractes,59,9,66,75,1.27,29,26
,,,,,,,,,
21,Kameron Kielly (RW/C),Charlottetown Islanders,65,34,40,74,1.14,38,31
