,Name,Team,GP,G,A,PTS,PTS/GM,PIMS,PLUS/MINUS
1,Sam Steel (C),Regina Pats,66,50,81,131,1.98,40,49
2,Adam Brooks (C),Regina Pats,66,43,87,130,1.97,61,43
3,Tyler Wong (RW),Lethbridge Hurricanes,69,51,58,109,1.58,53,29
4,Chad Butcher (RW),Medicine Hat Tigers,68,27,76,103,1.51,75,16
5,Jayden Halbgewachs (LW/C),Moose Jaw Warriors,71,50,51,101,1.42,27,8
6,Kailer Yamamoto (RW/LW),Spokane Chiefs,65,42,57,99,1.52,46,14
7,Cody Glass (C),Portland Winterhawks,69,32,62,94,1.36,36,31
8,Mason Shaw (C),Medicine Hat Tigers,71,27,67,94,1.32,57,12
9,Tyler Steenbergen (C/W),Swift Current Broncos,72,51,39,90,1.25,22,26
10,Matthew Phillips (C/RW),Victoria Royals,70,50,40,90,1.29,50,34
,,,,,,,,,
11,Morgan Geekie (C),Tri-City Americans,72,35,55,90,1.25,40,22
12,Giorgio Estephan (C),Lethbridge Hurricanes,68,35,54,89,1.31,39,3
13,Dawson Leedahl (LW),Regina Pats,71,35,54,89,1.25,121,45
14,Steven Owre (C),Medicine Hat Tigers,71,26,62,88,1.24,70,18
15,Kole Lind (RW),Kelowna Rockets,70,30,57,87,1.24,79,36
16,Aleksi Heponiemi (C/RW),Swift Current Broncos,72,28,58,86,1.19,18,15
17,Connor Hobbs (D),Regina Pats,67,31,54,85,1.27,92,30
18,Michael Spacek (C/RW),Red Deer Rebels,59,30,55,85,1.44,34,3
19,Skyler McKenzie (LW),Portland Winterhawks,72,42,42,84,1.17,60,29
20,Ryan Gropp (LW),Seattle Thunderbirds,66,35,49,84,1.27,26,25
,,,,,,,,,
21,Tyler Sandhu (C/RW),Tri-City Americans,72,23,60,83,1.15,41,-5
22,Brayden Burke (LW/RW),totals,61,19,63,82,1.34,36,-9
,,Lethbridge Hurricanes,15,4,19,23,1.53,10,-5
,,Moose Jaw Warriors,46,15,44,59,1.28,26,-4
23,Brett Howden (C),Moose Jaw Warriors,58,38,43,81,1.4,73,14
24,Nick Henry (RW),Regina Pats,72,35,46,81,1.13,49,32
25,Matteo Gennaro (C/LW),Calgary Hitmen,69,43,37,80,1.16,65,13
26,Mathew Barzal (C),Seattle Thunderbirds,41,10,69,79,1.93,20,32
27,Deven Sideroff (RW),Kamloops Blazers,67,36,42,78,1.16,49,26
28,Patrick Bajkov (RW/LW),Everett Silvertips,71,29,49,78,1.1,44,23
29,Rudolfs Balcers (LW),Kamloops Blazers,66,40,37,77,1.17,16,26
30,Matt Bradley (C),Medicine Hat Tigers,70,34,43,77,1.1,85,23
,,,,,,,,,
31,Jaret Anderson-Dolan (C),Spokane Chiefs,72,39,37,76,1.06,22,4
32,Dominic Zwerger (LW),Everett Silvertips,67,28,47,75,1.12,32,20
33,Zak Zborosky (RW),totals,66,41,33,74,1.12,24,-5
,,Kootenay Ice,41,28,16,44,1.07,14,-14
,,Lethbridge Hurricanes,25,13,17,30,1.2,10,9
34,Ryley Lindgren (C/RW),totals,72,27,47,74,1.03,42,1
,,Lethbridge Hurricanes,42,14,28,42,1,23,-3
,,Swift Current Broncos,30,13,19,32,1.07,19,4
35,Hudson Elynuik (C),Spokane Chiefs,64,29,44,73,1.14,70,-4
36,Jack Walker (LW),Victoria Royals,70,31,41,72,1.03,65,17
37,Jansen Harkins (C),Prince George Cougars,64,21,51,72,1.13,48,19
38,Reid Duke (C),Brandon Wheat Kings,59,37,34,71,1.2,81,9
39,Lane Bauer (C),totals,71,36,35,71,1,22,16
,,Edmonton Oil Kings,40,25,15,40,1,18,12
,,Kamloops Blazers,31,11,20,31,1,4,4
40,Brandon Hagel (LW),Red Deer Rebels,65,31,40,71,1.09,85,2
,,,,,,,,,
41,Brennan Menell (D),Lethbridge Hurricanes,70,12,59,71,1.01,29,10
42,Calvin Thürkauf (C/LW),Kelowna Rockets,60,33,37,70,1.17,87,34
43,Ethan Bear (D),Seattle Thunderbirds,67,28,42,70,1.04,21,34
44,Keegan Iverson (RW/C),Portland Winterhawks,55,26,44,70,1.27,94,27
45,Davis Koch (C/RW),Edmonton Oil Kings,72,21,49,70,0.97,20,-8
46,Nikita Popugayev (RW/LW),totals,71,29,40,69,0.97,29,12
,,Moose Jaw Warriors,40,22,29,51,1.28,14,3
,,Prince George Cougars,31,7,11,18,0.58,15,9
47,Keanu Yamamoto (RW),Spokane Chiefs,72,26,43,69,0.96,54,-13
48,Ty Lewis (LW),Brandon Wheat Kings,70,30,38,68,0.97,40,3
49,Braylon Shmyr (LW),Saskatoon Blades,66,35,31,66,1,20,-12
50,Austin Wagner (LW),Regina Pats,64,30,36,66,1.03,94,52
,,,,,,,,,
51,Parker Wotherspoon (D),Tri-City Americans,69,10,56,66,0.96,99,15
52,Lane Pederson (C),Swift Current Broncos,62,25,40,65,1.05,39,9
53,Garrett Pilon (C),Kamloops Blazers,67,20,45,65,0.97,20,26
54,Jesse Gabrielle (LW/RW),Prince George Cougars,61,35,29,64,1.05,88,17
55,Dante Hannoun (C),Victoria Royals,72,25,39,64,0.89,26,12
56,Clayton Kirichenko (D),Medicine Hat Tigers,72,12,52,64,0.89,42,50
57,Zach Fischer (RW),Medicine Hat Tigers,62,34,29,63,1.02,145,10
58,Radovan Bondra (RW/LW),totals,62,32,31,63,1.02,40,2
,,Vancouver Giants,32,19,12,31,0.97,14,1
,,Prince George Cougars,30,13,19,32,1.07,26,1
59,Tyler Coulter (LW),Brandon Wheat Kings,66,30,33,63,0.95,100,10
60,Nick Merkley (RW/C),Kelowna Rockets,63,23,40,63,1,73,22
,,,,,,,,,
61,Max Gerlach (C),Medicine Hat Tigers,72,34,28,62,0.86,32,6
62,Evan Polei (LW),Red Deer Rebels,69,33,29,62,0.9,104,4
63,Collin Shirley (LW/C),Kamloops Blazers,70,28,34,62,0.89,31,0
64,Caleb Jones (D),Portland Winterhawks,63,9,53,62,0.98,54,3
65,Mark Rassell (C),Medicine Hat Tigers,72,36,25,61,0.85,31,11
66,Noah Gregor (C),Moose Jaw Warriors,52,27,34,61,1.17,29,5
67,Stelio Mattheos (RW/C),Brandon Wheat Kings,69,26,35,61,0.88,59,-16
68,Juuso Välimäki (D),Tri-City Americans,60,19,42,61,1.02,34,2
69,Keegan Kolesar (RW),Seattle Thunderbirds,54,26,34,60,1.11,101,28
70,Matt Alfaro (C),totals,61,25,35,60,0.98,72,-7
,,Kootenay Ice,41,13,26,39,0.95,50,-10
,,Lethbridge Hurricanes,20,12,9,21,1.05,22,3
,,,,,,,,,
71,John Dahlström (LW/RW),Medicine Hat Tigers,63,30,29,59,0.94,12,21
72,Glenn Gawdin (C),Swift Current Broncos,52,26,33,59,1.13,80,21
73,David Quenneville (D),Medicine Hat Tigers,49,23,36,59,1.2,37,5
74,Colton Kroeker (C),totals,70,18,41,59,0.84,14,-31
,,Lethbridge Hurricanes,41,6,21,27,0.66,10,4
,,Kootenay Ice,29,12,20,32,1.1,4,-35
75,Kevin Davis (D),Everett Silvertips,72,9,50,59,0.82,14,17
76,Joachim Blichfeld (RW/LW),Portland Winterhawks,63,28,30,58,0.92,34,1
77,Vladislav Lukin (RW),Tri-City Americans,63,26,32,58,0.92,46,-3
78,Austin Glover (C/RW),totals,69,22,36,58,0.84,30,-16
,,Prince Albert Raiders,35,12,14,26,0.74,18,-15
,,Red Deer Rebels,34,10,22,32,0.94,12,-1
79,Aaron Irving (D),totals,71,18,40,58,0.82,88,-7
,,Edmonton Oil Kings,39,14,29,43,1.1,55,-3
,,Everett Silvertips,32,4,11,15,0.47,33,-4
80,Vince Loschiavo (RW/C),Kootenay Ice,68,29,28,57,0.84,30,-25
,,,,,,,,,
81,Ryan Hughes (C),Portland Winterhawks,70,27,30,57,0.81,64,1
82,Kyle Olson (RW),Tri-City Americans,72,20,37,57,0.79,52,25
83,Cal Foote (D),Kelowna Rockets,71,6,51,57,0.8,41,39
84,Beck Malenstyn (LW),Calgary Hitmen,70,32,24,56,0.8,60,-13
85,Jesse Shynkaruk (C/LW),Saskatoon Blades,58,31,25,56,0.97,26,-12
86,Jordy Bellerive (C),Lethbridge Hurricanes,70,27,29,56,0.8,86,-4
87,Michael Rasmussen (C/W),Tri-City Americans,50,32,23,55,1.1,50,-13
88,Colby McAuley (C/W),Prince George Cougars,68,26,29,55,0.81,87,16
89,Tyler Soy (C),Victoria Royals,44,25,30,55,1.25,15,26
90,Yegor Babenko (RW),Lethbridge Hurricanes,66,24,31,55,0.83,36,7
,,,,,,,,,
91,Dillon Dubé (C/LW),Kelowna Rockets,40,20,35,55,1.38,40,18
92,Lane Zablocki (RW),totals,64,28,26,54,0.84,97,13
,,Regina Pats,33,9,16,25,0.76,48,18
,,Red Deer Rebels,31,19,10,29,0.94,49,-5
93,Trey Fix-Wolansky (RW),Edmonton Oil Kings,70,24,30,54,0.77,69,-16
94,Jordan Topping (LW),Tri-City Americans,43,28,25,53,1.23,33,17
95,Ty Ronning (RW),Vancouver Giants,68,25,28,53,0.78,35,-20
96,Jakob Stukel (LW),Calgary Hitmen,70,23,30,53,0.76,36,-13
97,Josh Mahura (D),totals,73,17,36,53,0.73,57,17
,,Red Deer Rebels,39,9,24,33,0.85,35,-1
,,Regina Pats,34,8,12,20,0.59,22,18
98,Dylan Coghlan (D),Tri-City Americans,71,15,38,53,0.75,26,17
99,Brad Morrison (C),Prince George Cougars,61,21,31,52,0.85,55,16
100,Tanner Jeannot (LW),Moose Jaw Warriors,71,19,33,52,0.73,84,13
101,Adam Musil (C),Red Deer Rebels,56,20,31,51,0.91,74,10
102,James Malm (LW),Vancouver Giants,69,20,31,51,0.74,18,-16
103,Artyom Minulin (D),Swift Current Broncos,70,8,42,50,0.71,21,28
104,Colton Bobyk (D),Red Deer Rebels,70,5,45,50,0.71,102,-13
105,Jared Bethune (C),Prince George Cougars,72,22,27,49,0.68,50,19
106,Kody McDonald (RW/C),Prince George Cougars,68,17,32,49,0.72,119,22
107,Filip Ahl (LW/RW),Regina Pats,54,28,20,48,0.89,26,18
108,Simon Stransky (LW/C),Prince Albert Raiders,57,22,26,48,0.84,23,-20
109,Thomas Foster (C),totals,68,21,27,48,0.71,37,-4
,,Vancouver Giants,38,10,18,28,0.74,22,-2
,,Moose Jaw Warriors,30,11,9,20,0.67,15,-2
110,Henri Jokiharju (D),Portland Winterhawks,71,9,39,48,0.68,38,14
,,,,,,,,,
111,Chase Harrison (D),Regina Pats,67,6,42,48,0.72,18,50
112,James Hamblin (LW),Medicine Hat Tigers,69,23,24,47,0.68,32,21
113,Matt Fonteyne (LW),Everett Silvertips,64,20,27,47,0.73,18,19
