Draft Position,Team,Player,Seasons,GP,G,A,PTS,PIMS,League
#114,Arizona Coyotes,Ivan Prosvetov (G),1,53,-,-,-,-,OHL
#175,Los Angeles Kings,Jacob Ingham (G),4,175,-,-,-,-,OHL
#208,Vegas Golden Knights,Jordan Kooy (G),4,92,-,-,-,-,OHL
#107,St. Louis Blues,Joel Hofer (G),3,113,-,-,-,-,WHL
#136,New Jersey Devils,Akira Schmid (G),1,1,-,-,-,-,WHL
#158,Arizona Coyotes,David Tendeck (G),5,145,-,-,-,-,WHL
#62,Edmonton Oilers,Olivier Rodrigue (G),4,178,-,-,-,-,QMJHL
#157,Ottawa Senators,Kevin Mandolese (G),4,149,-,-,-,-,QMJHL
#162,Chicago Blackhawks,Alexis Gravel (G),4,176,-,-,-,-,QMJHL
#176,San Jose Sharks,Zachary Émond (G),4,105,-,-,-,-,QMJHL
#209,Toronto Maple Leafs,Zachary Bouthillier (G),4,142,-,-,-,-,
#51,Los Angeles Kings,Akil Thomas (F),4,239,102,205,307,149,OHL
#100,Dallas Stars,Adam Mascherin (F),4,259,122,174,296,74,OHL
#21,San Jose Sharks,Ryan Merkley (D),4,246,54,214,268,225,OHL
#30,Detroit Red Wings,Joe Veleno (F),4,230,90,176,266,106,QMJHL
#140,Colorado Avalanche,Brandon Saigeon (F),5,304,105,146,251,211,OHL
#128,Montréal Canadiens,Cole Fonstad (F),5,268,76,170,246,54,WHL
#204,Columbus Blue Jackets,Trey Fix-Wolansky (F),3,206,93,152,245,202,WHL
#97,Montréal Canadiens,Allan McShane (F),4,252,94,150,244,52,OHL
#54,Anaheim Ducks,Benoit-Olivier Groulx (F),4,247,105,139,244,246,QMJHL
#129,Pittsburgh Penguins,Justin Almeida (F),5,256,89,154,243,34,WHL
#17,New Jersey Devils,Ty Smith (D),5,238,44,188,232,121,WHL
#179,Minnesota Wild,Shawn Boudrias (F),5,283,102,122,224,177,QMJHL
#137,Dallas Stars,Riley Damiani (F),4,244,86,135,221,126,OHL
#59,Tampa Bay Lightning,Gabriel Fortier (F),4,220,103,116,219,116,QMJHL
#13,Dallas Stars,Ty Dellandrea (F),4,231,94,122,216,158,OHL
#53,Pittsburgh Penguins,Calen Addison (D),5,251,41,173,214,206,WHL
#10,Edmonton Oilers,Evan Bouchard (D),4,223,54,147,201,142,OHL
#113,Los Angeles Kings,Aidan Dudas (F),4,238,80,121,201,86,OHL
#34,Florida Panthers,Serron Noel (F),4,239,87,114,201,203,OHL
#86,Minnesota Wild,Alexander Khovanov (F),3,141,66,132,198,220,QMJHL
#92,Minnesota Wild,Connor Dewar (F),4,270,99,98,197,168,WHL
